act_code,act_name,chapter,section_number,section_title,url,is_repealed,scraped_at,source
ITA,Information Technology Act 2000,,,Sections,#tb1,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,,Schedule,#tb10,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,1,Schedule 1. THE FIRST SCHEDULE.,#collapsezain1,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,2,Schedule 2. THE SECOND SCHEDULE.,#collapsezain2,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,3,Schedule 3. THE THIRD SCHEDULE,#collapsezain3,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,4,Schedule 4. THE FOURTH SCHEDULE,#collapsezain4,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,1,"Section 1. Short title, extent, commencement and application.",https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13010&sectionno=1&orderno=1&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,2,Section 2. Definitions.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13011&sectionno=2&orderno=2&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,3,Section 3. Authentication of electronic records.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13012&sectionno=3&orderno=3&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,3A,Section 3A. Electronic signature.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13013&sectionno=3A&orderno=4&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,4,Section 4. Legal recognition of electronic records.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13014&sectionno=4&orderno=5&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,5,Section 5. Legal recognition of electronic signatures.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13015&sectionno=5&orderno=6&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,6,Section 6. Use of electronic records and electronic signatures in Government and its agencies.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13016&sectionno=6&orderno=7&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,6A,Section 6A. Delivery of services by service provider.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13017&sectionno=6A&orderno=8&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,7,Section 7. Retention of electronic records.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13018&sectionno=7&orderno=9&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,7A,"Section 7A. Audit of documents, etc., maintained in electronic form.",https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13019&sectionno=7A&orderno=10&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,8,"Section 8. Publication of rule, regulation, etc., in Electronic Gazette.",https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13020&sectionno=8&orderno=11&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,9,"Section 9. Sections 6, 7 and 8 not to confer right to insist document should be accepted in electronic form.",https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13021&sectionno=9&orderno=12&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,10,Section 10. Power to make rules by Central Government in respect of electronic signature.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13022&sectionno=10&orderno=13&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,10A,Section 10A. Validity of contracts formed through electronic means.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13023&sectionno=10A&orderno=14&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,11,Section 11. Attribution of electronic records.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13024&sectionno=11&orderno=15&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,12,Section 12. Acknowledgment of receipt.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13025&sectionno=12&orderno=16&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,13,Section 13. Time and place of despatch and receipt of electronic record.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13026&sectionno=13&orderno=17&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,14,Section 14. Secure electronic record.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13027&sectionno=14&orderno=18&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,15,Section 15. Secure electronic signature.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13028&sectionno=15&orderno=19&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,16,Section 16. Security procedures and practices.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13029&sectionno=16&orderno=20&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,17,Section 17. Appointment of Controller and other officers.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13030&sectionno=17&orderno=21&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,18,Section 18. Functions of Controller.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13031&sectionno=18&orderno=22&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,19,Section 19. Recognition of foreign Certifying Authorities.,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13032&sectionno=19&orderno=23&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
ITA,Information Technology Act 2000,,20,Section 20. [Omitted.].,https://indiacode.nic.in/show-data?abv=CEN&statehandle=123456789/1362&actid=AC_CEN_45_76_00001_200021_1517807324077&sectionId=13033&sectionno=20&orderno=24&orgactid=AC_CEN_45_76_00001_200021_1517807324077,False,2026-03-23T06:56:47.362767,indiacode
